feature_0;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;label
3;0.24345472238323773;0.11358217735825472;-0.9637986151226985;0.29678890296896376;0.20635466911723696;f;0.3282918577802792;0.16426762393244243;0.40622255900925525;-0.2383379504564408;n;1.5299871331624406;0.7891866907119676;1.1038249444913573;2.080092698455062;-0.6164836941327879;-0.07963332403845468;0.16426762393244243;-0.9637986151226985;2
NaN;-1.9550984979891306;0.7961044967935099;2.7914003755321657;-1.5083333464858675;0.6807294498809714;d;0.008886987323250372;-1.0251532056113795;0.23548601976502642;0.11686304846927853;n;-0.2596390124386654;2.5951241578404924;1.5296579364569873;-0.1396181231809645;-0.40644002956800857;0.8037551809460891;-1.0251532056113795;2.7914003755321657;1
2;-0.5392034578163107;0.9103708997027773;0.6623272088250336;-2.109419813826803;-0.9918243252908852;d;-0.023367003650048797;0.8535027662466428;1.105857478916771;1.8774409142822168;n;2.8485687071810126;0.6189636335419729;-0.2534123911819474;1.8905328553643286;0.9137592737938186;0.05437587194557958;0.8535027662466428;0.6623272088250336;1
3;-0.3620869418604093;2.8683257678813527;3.153964565079591;-2.3387536153764;-0.8843519891707543;d;2.086122392707868;-2.406003252271076;0.5542190180345201;2.3193984606960525;y;-0.23328730071111314;0.9041911858371894;-0.32921797334907194;0.9268056099558026;0.13748784189397412;0.524676792040829;-2.406003252271076;3.153964565079591;1
2;-1.6124986607254241;0.7417741680353027;1.3612051735431463;-0.5089289701059179;-1.152962332133092;c;-0.9286195669208164;0.22180203456223846;-0.4342292650464729;0.6376701401256236;n;0.8475030892681672;1.351805601846485;-0.1552390221158438;-0.6945871790717671;0.1284034112974176;-1.444747294275152;0.22180203456223846;1.3612051735431463;1
1;-0.5925437953215968;-0.8845872991607939;-1.0765429951799228;0.0013523276475037038;1.3008180674581238;b;0.9094137993026195;-0.2342315782300225;1.685359694896033;-2.4924991634195868;n;2.6507356870821748;4.402454213930874;0.5941723159838549;-0.5643025253067703;-1.0134497286274669;-0.6969675335887293;-0.2342315782300225;-1.0765429951799228;2
3;0.4190864270308594;0.10890613198303321;-1.623403075614651;0.7243604282837051;1.2336171427522973;a;-0.7441548446236562;0.3468114311165349;-1.478772325521041;-0.3963329030569673;n;2.166669864757205;0.9364176538254755;0.6432371473916862;0.5630928900945827;-1.7845989536046458;1.140964826585553;0.3468114311165349;-1.623403075614651;1
2;0.1629301448876842;2.0266252367694326;2.113380824582148;-2.019431329290019;-1.0085234608714175;d;-0.09328589280522508;-2.3777061307733725;-1.2488839894092096;1.1608672152805313;n;0.05527274821455819;1.4609365203086502;-2.593641647233942;0.1236298063923423;0.22528746037385255;-2.040281137368086;-2.3777061307733725;2.113380824582148;0
NaN;0.12149626358926668;1.9789412392147299;-0.023082023242687773;-0.16463316507396863;-0.7175981643110988;d;-0.5162949426941302;-0.2833467716522664;-0.1374352142862483;1.7515415328481483;n;2.1220199356451177;0.2146086350530172;0.25568059113596603;-0.26654485784571;-2.214679972025825;-0.29157938377054415;-0.2833467716522664;-0.023082023242687773;0
2;0.7295838794860021;-0.929774172022129;-1.3496223904941573;0.5452981534151582;0.999781017611331;d;1.281205853444918;0.39032512904313305;0.07304666275215418;-0.906652312141607;y;0.20162924026468232;-0.22825657674555375;0.4417273728393476;-1.7276199943726627;-0.21460561472855824;-1.001819852611375;0.39032512904313305;-1.3496223904941573;3
